Money Management 101,Spitz,13:00,14:00,2019-04-01,Economics Students Association,2019-01-05 01:01:04,Johnson,101,92,1
Digital Studio Work Station,Donut Friend,15:00,16:30,2019-05-01,Engineering Club,2019-01-05 01:01:05,Johnson,102,1119,2
Game of Thrones Viewing,Chipotle,15:00,16:30,2019-01-01,ASOC Senate,2019-01-05 01:01:06,Johnson,103,1405,3
House Plant Master Crash Course,Spitz,13:00,14:00,2019-02-01,Biology Club,2019-01-05 01:01:07,Johnson,104,799,4
The USA from a Refugee's Perspective: Film Screenings in Choi on Thursday night,Donut Friend,15:00,16:30,2019-03-01,ASOC DEB,2019-01-05 01:01:08,Johnson,105,632,5
Classical Music Appreciation Social ,Oxy Marketplace,15:00,16:30,2019-03-10,Film Club,2019-01-05 01:01:09,Fowler,101,318,6
Piano Studio Recital - Students of Galina Barskaya,In-N-Out Burger,15:00,17:00,2019-05-21,ASOC Sustainability Fund,2019-01-05 01:01:10,Fowler,102,506,7
Chemistry Social,Chipotle,14:30,16:00,2019-04-10,Alpha Chi Sigma,2019-01-05 01:01:11,Fowler,103,271,8
Math Speaker Series,Oxy Marketplace,14:00,16:00,2019-03-18,Active Minds,2019-01-05 01:01:12,Fowler,104,1063,9
Chemistry Lunch,In-N-Out Burger,15:00,18:00,2019-02-18,Alpha Chi Sigma,2019-01-05 01:01:13,Fowler,105,271,10
Computer Science Interview Preparation,Domino's Pizza,13:00,14:00,2019-03-03,Engineering Club,2019-01-05 01:01:14,Swan,101,1119,11
Math in Movies,Porto's Bakery,13:00,14:00,2019-01-31,Engineering Club,2019-01-05 01:01:15,Swan,102,1119,12
Computer Science Speaker Series,Domino's Pizza,15:00,16:30,2019-03-09,Engineering Club,2019-01-05 01:01:16,Swan,103,1119,13
Seminar: Introduction to Moore Lab ,Porto's Bakery,15:00,16:30,2019-02-13,Biology Club,2019-01-05 01:01:17,Swan,104,799,14
Wine and Cheese Night,Bevmo,13:00,14:00,2019-03-11,ASOC Finance,2019-01-05 01:01:18,Swan,105,1059,15